ID,Department Name,Parent Department/External ID
100000-101078-103632-100418-100469-101324-101786,CSB/SKS/ReginaBSCC,100000-101078-103632-100418-100469-101324
100000-101078-103632-100418-100469-101324-104659,CSB/PPT/Regina/B,100000-101078-103632-100418-100469-101324
100000-101078-103632-100418-100469-101324-100360,CSB/SKS/WeyburnSCC,100000-101078-103632-100418-100469-101324
100000-101078-103632-100418-100469-101324-100365,CSB/SKS/YorktonSCC,100000-101078-103632-100418-100469-101324
100000-101078-103632-100418-100427,CS (W-T)/Yukon and NWT,100000-101078-103632-100418
100000-101078-103632-100418-100427-101521,CS (W-T)/Yukon and NWT-NWT,100000-101078-103632-100418-100427
100000-101078-103632-100418-100427-101521-100431,CSB/NWT/FTSimsonSCC,100000-101078-103632-100418-100427-101521
100000-101078-103632-100418-100427-101521-100432,CSB/NWT/InuvikSCC,100000-101078-103632-100418-100427-101521
100000-101078-103632-100418-100427-101521-105232,CS/NWT/SCC/Yellowknife,100000-101078-103632-100418-100427-101521
100000-101078-103632-100418-100427-101342,CSB (W-T)/Yukon and NWT-Yukon,100000-101078-103632-100418-100427
100000-101078-103632-100418-100427-101342-102152,CSB/YK/WhiteHorseSCC,100000-101078-103632-100418-100427-101342
100000-101078-103632-100418-100428,CSB (W-T)/Nunavut,100000-101078-103632-100418
100000-101078-103632-100418-100428-101505,CS (W-T)/Nunavut,100000-101078-103632-100418-100428
100000-101078-103632-100418-100428-101505-100433,CSB/NU/RankinInletSCC,100000-101078-103632-100418-100428-101505
100000-101078-103632-100418-100357,CS (W-T)-Central and Northern,100000-101078-103632-100418
100000-101078-103632-100418-100357-101329,CS (W-T)/Central and Northern,100000-101078-103632-100418-100357
100000-101078-103632-100418-100357-101329-100361,CSB/CNSK/LaRongeSCC,100000-101078-103632-100418-100357-101329
100000-101078-103632-100418-100357-101329-102123,CSB/CNSK/PrinceAlbertSCC,100000-101078-103632-100418-100357-101329
100000-101078-103632-100418-100357-101327,CS (W-T)/CNSK/Central,100000-101078-103632-100418-100357
100000-101078-103632-100418-100357-101327-100358,CSB/CNSK/MelfortSCC,100000-101078-103632-100418-100357-101327
100000-101078-103632-100418-100357-101327-100354,CSB/CNSK/NBattlefordSCC,100000-101078-103632-100418-100357-101327
